synonym	statn
FJ28 TRÖSKELN (SLÄGGÖ)	SLÄGGÖ
GÅSÖ RÄNNA	SLÄGGÖ
LYSE 4	SLÄGGÖ
LYSE4	SLÄGGÖ
SK 25	SLÄGGÖ
SK25	SLÄGGÖ
SLÄGGÖ (GULLMAR TRÖSKEL)	SLÄGGÖ
SLÄGGÖ (TRÖSKELN)	SLÄGGÖ
SLÄGGÖ(GULLMAR TRÖSKEL)	SLÄGGÖ
ST-12	SLÄGGÖ
TRÖSKELN	SLÄGGÖ
TRÖSKELN (SLÄGGÖ)	SLÄGGÖ
FLADEN	FLADEN
KA 2	FLADEN
KA2	FLADEN
Kattegatt utsjö_5	FLADEN
VSV FLADEN FYR	FLADEN
ANHOLT	ANHOLT E
KA 3	ANHOLT E
KA3	ANHOLT E
Kattegatt utsjö_9	ANHOLT E
O ANHOLT	ANHOLT E
FALK 1	N14 FALKENBERG
FALK1	N14 FALKENBERG
FALKENBERG (N14)	N14 FALKENBERG
Falkenberg N14	N14 FALKENBERG
N14	N14 FALKENBERG
N14 FALKENBERG	N14 FALKENBERG
BY 2	BY2 ARKONA
BY2	BY2 ARKONA
BY2  ARKONA	BY2 ARKONA
BY2 ARKONA	BY2 ARKONA
BY4	BY4 CHRISTIANSÖ
BY5	BY5 BORNHOLMSDJ
BY5  BORNHOLMSDJ	BY5 BORNHOLMSDJ
BY5  BORNHOLMSDJUPET	BY5 BORNHOLMSDJ
BY5 BORNHOLMSDJ	BY5 BORNHOLMSDJ
BY5 BORNHOLMSDJUPET	BY5 BORNHOLMSDJ
Ref M1V1	REF M1V1
REF M1V1	REF M1V1
RefM1	REF M1V1
REFM1	REF M1V1
BY32	BY32 NORRKÖPINGSDJ
BY32  NORRKÖPINGSDJUPET	BY32 NORRKÖPINGSDJ
BY32 NORRKÖPING	BY32 NORRKÖPINGSDJ
BY32 NORRKÖPINGSDJ	BY32 NORRKÖPINGSDJ
BY32 NORRKÖPINGSDJUPET	BY32 NORRKÖPINGSDJ
BY38	BY38 KARLSÖDJ
BY38  KARLSÖDJ	BY38 KARLSÖDJ
BY38 KARLSÖDJUPET	BY38 KARLSÖDJ
BY15	BY15 GOTLANDSDJ
BY15  GOTLANDSDJ	BY15 GOTLANDSDJ
BY15  GOTLANDSDJUPET	BY15 GOTLANDSDJ
BY15 Extra djupserie	BY15 GOTLANDSDJ
BY15 GOTLANDSDJ	BY15 GOTLANDSDJ
BY15 GOTLANDSDJUPET	BY15 GOTLANDSDJ
BY20  FÅRÖDJ	BY20 FÅRÖDJ
BY20 FÅRÖDJ	BY20 FÅRÖDJ
BY20 FÅRÖDJUPET	BY20 FÅRÖDJ
BCS  III-10	BCS III-10
BCSIII-10	BCS III-10
BY39 ÖLANDS SÖDRA	BY39 ÖLANDS S UDDE
BY39 ÖLANDS S UDDE	BY39 ÖLANDS S UDDE
