DTYPE	DCSTAT	DCBY	MYEAR	STATN	REP_STATN_NAME	PROJ	ORDERER	SHIPC	VISITID	CRUISE_NO	SHARKID_MD5	SDATE	STIME	EDATE	ETIME	LATIT_DM	LONGI_DM	LATIT_DD	LONGI_DD	POSYS	WADEP	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB	SECCHI	QSEC	COMNT_VISIT	SMPNO	MNDEP	MXDEP	SLABO	ACKR_SMP	SMTYP	SMVOL	COMNT_SAMP	PARAM	VALUE	MUNIT	QFLAG	CALC_BY_DATA_CENTRE	METOA	METDC	REFSK	COMNT_VAR	UNCERT	METCU	LMQNT	DETLI	RANA	ALABO	ACKR_ANA	ANADATE	WATER_CATEGORY	WATER_DISTRICT	SEA_AREA_NAME	SEA_AREA_CODE	WATER_TYPE_AREA	SEA_BASIN	HELCOM-OSPAR_AREA	EEZ	COUNTY_NAME	MUNICIPALITY_NAME	VISS_EU_ID	WLTYP	MSTAT	PURPM	MPROG	RLABO	DATA_CENTRE	INTERNET_ACCESS	DATA_SET_NAME	FILE_NAME
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			32	830e7851c5f5e7866b950ae9f8c704b3	2015-12-03	08:10			64 42.48	22 04.08	64.70800	22.06800	GPS	122												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.66	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			32	1dd5341188e216e4c825de25547054fd	2015-12-03	08:10			64 42.48	22 04.08	64.70800	22.06800	GPS	122												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.68	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			32	b3aa3099cbabc6ece9abe47ec0e7d611	2015-12-01	15:20			62 39.13	18 57.28	62.65217	18.95467	GPS	196												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	1.2	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			32	dbc82cd0fab4754d867c737a42aa9836	2015-12-01	15:20			62 39.13	18 57.28	62.65217	18.95467	GPS	196												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	1.18	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			30	64c67ade1d398e2f1223753ebdffc3b7	2015-10-08	08:00			64 42.52	22 03.97	64.70867	22.06617	GPS	123												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	1.91	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			30	3b7c1361db75e7c608181c1b6c1ef729	2015-10-08	08:00			64 42.52	22 03.97	64.70867	22.06617	GPS	123												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	1.95	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			30	1231d35f9bb6598d03933f0ad2801439	2015-10-06	14:05			62 39.18	18 57.13	62.65300	18.95217	GPS	196												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	3.07	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			30	a8fc994755fc81d992513b5a31e448c9	2015-10-06	14:05			62 39.18	18 57.13	62.65300	18.95217	GPS	196												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.62	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			24	744cf214c33859a349ba929ba95b1a5a	2015-08-06	08:00			64 42.52	22 04.00	64.70867	22.06667	GPS	127												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.65	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			24	fcad72797c80142732a0029c09f706ae	2015-08-06	08:00			64 42.52	22 04.00	64.70867	22.06667	GPS	127												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.62	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
