STATN	STNCODE	MONTH	TEMP:mean	TEMP:std	TEMP:number_of_values	SALT:mean	SALT:std	SALT:number_of_values	CHLA:mean	CHLA:std	CHLA:number_of_values
Å17	SKEX18	01	5.609	1.727	17	32.732	1.538	17	0.821	1.139	17
Å17	SKEX18	02	4.417	1.063	20	31.785	1.756	20	2.05	2.851	20
Å17	SKEX18	03	4.598	1.466	20	31.983	2.188	20	3.959	4.288	20
Å17	SKEX18	04	5.893	1.22	21	31.025	1.919	21	1.541	0.692	21
Å17	SKEX18	05	8.418	1.179	19	31.507	1.283	19	1.417	0.564	18
Å17	SKEX18	06	11.582	1.047	18	31.745	0.825	18	1.461	0.852	18
Å17	SKEX18	07	14.319	1.242	20	32.05	0.833	20	0.801	0.335	20
Å17	SKEX18	08	15.937	1.521	19	31.853	1.109	19	0.999	0.539	19
Å17	SKEX18	09	15.31	1.123	20	32.754	0.868	20	1.012	0.474	20
Å17	SKEX18	10	13.016	1.007	20	31.779	1.741	20	1.652	0.789	20
Å17	SKEX18	11	10.374	1.252	20	32.779	1.093	20	1.321	0.453	20
Å17	SKEX18	12	8.171	1.19	22	32.527	1.843	22	0.679	0.202	22
Å16	SKEX17	01	5.45	1.763	18	32.463	1.635	18	0.25	0.128	3
Å16	SKEX17	02	4.319	1.101	26	31.601	2.275	26	1.826	2.256	6
Å16	SKEX17	03	4.364	1.295	25	31.536	1.856	25	3.575	1.737	6
Å16	SKEX17	04	5.849	1.073	27	30.885	2.059	27	2.187	1.264	7
Å16	SKEX17	05	8.617	1.039	25	31.149	1.573	25	1.989	0.465	5
Å16	SKEX17	06	11.628	1.093	23	31.359	1.362	23	1.83	0.919	5
Å16	SKEX17	07	14.724	1.265	26	31.889	0.852	26	1.318	0.677	6
Å16	SKEX17	08	16.485	1.472	24	31.93	0.943	24	1.125	0.685	5
Å16	SKEX17	09	15.265	1.085	26	32.245	1.472	26	1.576	0.644	6
Å16	SKEX17	10	12.986	1.175	24	31.635	2.677	24	nan	nan	2
Å16	SKEX17	11	10.102	1.236	22	32.731	1.64	22	0.831	0.255	4
Å16	SKEX17	12	7.733	1.374	27	32.115	2.024	27	0.282	0.127	4
Å15	SKEX16	01	5.426	1.448	16	32.263	1.899	16	0.971	1.263	12
Å15	SKEX16	02	4.549	1.115	21	31.686	2.293	21	2.019	2.282	15
Å15	SKEX16	03	4.333	1.463	20	30.996	2.153	20	2.767	1.76	16
Å15	SKEX16	04	6.03	1.23	21	30.873	2.061	21	1.473	1.035	16
Å15	SKEX16	05	8.826	1.073	19	30.793	1.413	19	1.284	0.634	13
Å15	SKEX16	06	12.057	1.06	18	31.105	1.472	18	1.218	0.439	14
Å15	SKEX16	07	15.041	0.99	20	31.914	0.717	20	1.085	0.906	16
Å15	SKEX16	08	16.987	0.93	20	31.593	1.632	20	1.736	1.202	16
Å15	SKEX16	09	15.531	1.118	19	32.425	1.746	19	1.086	0.43	14
Å15	SKEX16	10	13.082	1.238	21	31.398	2.446	21	1.591	0.603	16
Å15	SKEX16	11	10.203	1.273	20	32.031	2.154	20	1.412	0.824	15
Å15	SKEX16	12	7.738	1.495	22	31.636	2.123	22	0.89	0.437	17
Å14	SKEX15	01	5.054	1.501	15	31.876	1.854	15	nan	nan	0
Å14	SKEX15	02	4.149	1.113	19	30.821	2.446	19	nan	nan	0
Å14	SKEX15	03	4.01	1.424	18	29.892	2.083	18	nan	nan	1
