STATN	STNCODE	MONTH	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:number_of_values	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:number_of_values	DOXY_BTL_bottom:mean	DOXY_BTL_bottom:std	DOXY_BTL_bottom:number_of_values	O2SAT_BTL:mean	O2SAT_BTL:std	O2SAT_BTL:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CHLA:mean	CHLA:std	CHLA:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values
BYTTELOCKET	FIBX32	01	3.78	2.11	11	26.09	2.00	10	6.41	0.67	28	98.14	2.41	11	nan	nan	0	0.51	0.13	11	6.37	3.07	11	8.91	4.71	11	0.21	0.10	11	5.86	2.80	11	0.71	0.35	10	18.94	2.59	11	18.94	2.59	11	1.95	2.54	11	5.74	2.40	7
BYTTELOCKET	FIBX32	02	2.16	1.74	12	26.81	3.42	11	6.73	0.50	31	98.62	3.34	13	nan	nan	0	0.58	0.15	13	8.34	3.27	13	9.92	3.78	13	0.40	0.34	13	7.52	2.85	13	0.53	0.30	13	20.24	2.97	13	20.24	2.97	13	2.42	4.18	13	6.81	1.62	8
BYTTELOCKET	FIBX32	03	1.99	1.82	14	24.89	3.40	14	6.74	0.64	33	104.86	5.86	15	nan	nan	0	0.23	0.20	15	2.99	3.69	15	3.08	3.98	15	0.12	0.12	15	3.16	3.60	13	0.18	0.13	15	18.03	3.05	15	18.03	3.05	15	6.41	4.62	15	6.27	2.17	13
BYTTELOCKET	FIBX32	04	4.47	1.19	13	24.38	4.09	12	6.51	0.71	32	105.32	4.33	14	nan	nan	0	0.11	0.08	14	1.48	1.37	14	1.80	1.83	14	0.09	0.06	14	1.57	1.26	11	0.41	0.26	14	16.80	2.60	14	16.80	2.60	14	2.38	1.49	14	7.88	1.96	12
BYTTELOCKET	FIBX32	05	9.72	1.60	15	22.66	3.69	15	6.11	0.53	37	106.83	3.23	17	nan	nan	0	0.06	0.02	17	0.46	0.40	17	1.44	1.11	17	0.05	0.04	17	0.56	0.46	10	0.28	0.16	17	16.45	2.52	17	16.45	2.52	17	1.97	0.67	17	7.56	1.98	15
BYTTELOCKET	FIBX32	06	14.02	1.82	10	24.64	3.67	10	5.39	0.69	35	108.41	3.64	13	nan	nan	0	0.05	0.02	13	0.37	0.44	13	0.59	0.30	13	0.05	0.04	13	0.48	0.53	6	0.18	0.11	13	15.20	2.02	13	15.20	2.02	13	1.88	0.52	13	7.28	1.78	13
BYTTELOCKET	FIBX32	07	17.45	1.56	14	23.46	2.55	14	4.53	0.88	30	104.77	4.41	15	nan	nan	0	0.04	0.02	15	0.20	0.14	15	0.47	0.42	15	0.03	0.03	15	0.11	0.06	5	0.22	0.14	15	15.28	1.59	15	15.28	1.59	15	1.39	1.08	15	9.22	2.28	15
BYTTELOCKET	FIBX32	08	18.76	1.35	12	23.63	1.54	12	4.24	0.68	34	102.90	4.53	15	nan	nan	0	0.05	0.02	15	0.16	0.07	15	0.69	0.54	15	0.03	0.01	15	0.10	0.05	4	0.21	0.13	15	15.52	1.61	15	15.52	1.61	15	1.82	0.75	15	7.96	0.77	14
BYTTELOCKET	FIBX32	09	16.93	0.48	12	25.25	2.66	12	4.21	0.67	32	100.18	4.67	15	nan	nan	0	0.09	0.03	15	0.29	0.39	15	1.38	0.79	15	0.05	0.05	15	0.13	0.05	6	0.32	0.28	15	14.59	2.37	15	14.59	2.37	15	1.91	0.86	15	7.77	1.94	15
BYTTELOCKET	FIBX32	10	13.55	0.93	13	25.47	2.65	12	4.74	0.87	33	98.73	2.61	15	nan	nan	0	0.11	0.04	15	0.29	0.24	15	1.56	1.36	15	0.06	0.07	15	0.17	0.12	9	0.33	0.28	14	16.23	2.41	15	16.23	2.41	15	2.76	1.47	15	7.46	1.42	12
BYTTELOCKET	FIBX32	11	9.79	1.57	14	26.64	2.40	13	5.23	0.61	33	97.73	2.67	15	nan	nan	0	0.29	0.11	15	2.02	1.27	15	3.83	2.04	15	0.28	0.23	15	1.33	0.76	14	0.80	0.65	15	15.68	2.02	15	15.68	2.02	15	2.77	1.70	14	7.43	1.82	14
BYTTELOCKET	FIBX32	12	6.53	2.16	13	27.23	2.87	13	5.83	0.68	29	96.12	3.90	15	nan	nan	0	0.41	0.10	15	3.95	1.65	15	5.26	2.22	15	0.37	0.22	15	3.12	1.48	15	1.00	0.37	15	16.22	2.13	15	16.22	2.13	15	1.54	1.02	15	7.38	3.10	10
HAVSTENSFJORD	FIBO46	01	3.71	1.74	9	20.87	3.05	8	1.33	1.80	23	93.17	3.20	9	nan	nan	0	0.66	0.07	9	14.19	3.65	9	28.07	7.07	9	0.33	0.09	9	12.90	2.61	9	2.66	1.25	9	29.54	4.52	9	29.54	4.52	9	0.47	0.31	9	3.97	3.16	6
