STATN	STNCODE	MONTH	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:number_of_values	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:number_of_values	DOXY_BTL_bottom:mean	DOXY_BTL_bottom:std	DOXY_BTL_bottom:number_of_values	O2SAT_BTL:mean	O2SAT_BTL:std	O2SAT_BTL:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CHLA:mean	CHLA:std	CHLA:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values
ANHOLT E	KAEX29	01	3.08	1.86	25	22.83	3.61	25	5.99	0.45	35	98.98	1.09	25	nan	nan	0	0.58	0.12	25	5.49	1.62	25	9.40	2.90	25	0.29	0.15	25	4.91	1.57	25	0.38	0.23	24	19.09	1.58	24	19.09	1.58	24	1.70	1.77	25	7.50	2.69	4
ANHOLT E	KAEX29	02	2.18	1.50	28	21.92	2.82	28	6.08	0.49	40	102.02	3.55	29	nan	nan	0	0.46	0.19	29	4.95	2.80	29	8.16	3.79	29	0.23	0.16	29	4.87	2.39	28	0.21	0.15	29	20.25	2.30	29	20.25	2.30	29	4.30	3.52	28	5.70	2.29	10
ANHOLT E	KAEX29	03	2.99	1.42	25	20.33	2.30	25	5.98	0.50	36	104.74	3.92	27	nan	nan	0	0.14	0.14	27	0.82	1.47	27	3.09	3.45	27	0.07	0.09	27	1.92	1.80	11	0.21	0.13	25	17.76	2.19	27	17.76	2.19	27	4.20	3.04	27	7.41	2.60	11
ANHOLT E	KAEX29	04	6.28	1.71	32	18.75	2.61	32	5.59	0.55	47	104.28	2.95	31	nan	nan	0	0.08	0.04	32	0.19	0.16	32	2.07	1.79	32	0.03	0.02	32	0.35	0.46	8	0.19	0.14	31	16.67	1.67	32	16.67	1.67	32	1.72	0.92	31	8.08	1.46	19
ANHOLT E	KAEX29	05	10.54	1.54	23	17.66	2.65	23	5.61	0.47	35	103.76	2.57	23	nan	nan	0	0.08	0.04	23	0.28	0.49	23	2.34	1.67	23	0.04	0.04	23	1.85	2.26	4	0.14	0.10	23	16.37	1.66	23	16.37	1.66	23	2.00	0.95	23	8.12	1.58	17
ANHOLT E	KAEX29	06	15.08	1.66	30	18.54	3.04	30	5.05	0.48	43	105.40	3.09	30	nan	nan	0	0.06	0.03	30	0.15	0.05	30	1.83	1.46	30	0.03	0.01	30	0.13	0.06	8	0.13	0.07	30	16.12	1.44	30	16.12	1.44	30	1.85	0.90	30	7.26	1.45	19
ANHOLT E	KAEX29	07	18.26	1.40	33	19.12	2.08	33	4.12	0.53	44	104.89	4.18	34	nan	nan	0	0.06	0.03	35	0.14	0.05	35	0.78	0.87	35	0.02	0.01	35	0.13	0.05	4	0.15	0.08	35	15.97	1.76	35	15.97	1.76	35	1.34	0.78	35	8.17	1.90	26
ANHOLT E	KAEX29	08	18.92	1.23	41	19.68	2.26	41	3.27	0.68	60	102.69	3.09	41	nan	nan	0	0.06	0.03	41	0.15	0.08	41	1.17	0.80	41	0.03	0.01	41	nan	nan	2	0.18	0.07	39	16.03	1.45	41	16.03	1.45	41	1.14	0.58	40	9.12	1.67	20
ANHOLT E	KAEX29	09	16.50	0.99	37	20.32	1.89	37	2.68	0.78	55	101.04	1.54	39	nan	nan	0	0.07	0.03	39	0.14	0.04	39	1.72	1.06	39	0.03	0.01	39	0.10	0.00	3	0.19	0.09	39	16.13	1.29	39	16.13	1.29	39	1.33	0.60	39	8.13	1.93	15
ANHOLT E	KAEX29	10	12.07	1.27	27	21.69	2.35	27	3.62	0.83	39	99.65	1.91	28	nan	nan	0	0.18	0.05	28	0.18	0.09	28	3.46	1.85	28	0.03	0.02	28	0.19	0.10	9	0.18	0.08	27	15.67	1.79	28	15.67	1.79	28	2.22	0.76	28	7.86	0.83	7
ANHOLT E	KAEX29	11	9.01	1.48	16	22.77	2.81	16	4.43	0.45	39	99.53	1.60	20	nan	nan	0	0.26	0.09	19	0.76	0.79	19	4.19	3.24	19	0.11	0.13	19	0.61	0.56	16	0.26	0.22	17	14.98	1.44	20	14.98	1.44	20	2.94	1.14	20	8.25	1.56	8
