STATN	STNCODE	DEPH	SDATE	DOXY_BTL_bottom
ANHOLT E	KAEX29	55.0	1985-01-27	5.76
ANHOLT E	KAEX29	54.0	1985-04-10	6.28
ANHOLT E	KAEX29	60.0	1985-09-09	2.97
ANHOLT E	KAEX29	58.0	1985-11-22	3.59
ANHOLT E	KAEX29	52.0	1986-06-13	nan
ANHOLT E	KAEX29	52.0	1986-06-14	5.53
ANHOLT E	KAEX29	60.0	1986-10-17	1.13
ANHOLT E	KAEX29	52.0	1987-01-19	5.75
ANHOLT E	KAEX29	54.0	1987-09-01	nan
ANHOLT E	KAEX29	54.0	1987-09-02	3.13
ANHOLT E	KAEX29	58.0	1987-09-21	2.49
ANHOLT E	KAEX29	54.0	1987-11-10	4.53
ANHOLT E	KAEX29	53.0	1988-01-24	5.79
ANHOLT E	KAEX29	60.0	1988-02-23	5.85
ANHOLT E	KAEX29	57.0	1988-02-25	5.92
ANHOLT E	KAEX29	55.0	1988-05-27	5.44
ANHOLT E	KAEX29	60.0	1988-06-15	5.11
ANHOLT E	KAEX29	53.0	1988-08-31	2.81
ANHOLT E	KAEX29	60.0	1988-09-28	0.55
ANHOLT E	KAEX29	55.0	1988-11-17	4.34
ANHOLT E	KAEX29	57.0	1988-11-21	4.2
ANHOLT E	KAEX29	56.0	1989-01-23	6.38
ANHOLT E	KAEX29	57.0	1989-03-02	6.61
ANHOLT E	KAEX29	60.0	1989-04-11	6.2
ANHOLT E	KAEX29	52.0	1989-05-22	5.01
ANHOLT E	KAEX29	55.0	1989-06-15	4.45
ANHOLT E	KAEX29	54.0	1989-08-29	2.75
ANHOLT E	KAEX29	53.0	1989-09-26	3.1
ANHOLT E	KAEX29	53.0	1989-11-19	4.42
ANHOLT E	KAEX29	54.0	1989-11-23	4.35
ANHOLT E	KAEX29	52.0	1990-04-18	5.93
ANHOLT E	KAEX29	53.0	1990-05-14	5.69
ANHOLT E	KAEX29	53.0	1990-05-27	5.95
ANHOLT E	KAEX29	55.0	1990-08-21	2.42
ANHOLT E	KAEX29	57.0	1990-09-06	2.01
ANHOLT E	KAEX29	61.0	1990-11-19	4.68
ANHOLT E	KAEX29	53.0	1991-06-15	nan
ANHOLT E	KAEX29	53.0	1991-06-16	5.33
ANHOLT E	KAEX29	56.0	1991-09-06	2.08
ANHOLT E	KAEX29	60.0	1991-11-05	5.15
ANHOLT E	KAEX29	55.0	1992-01-20	6.05
ANHOLT E	KAEX29	54.0	1992-03-30	5.62
ANHOLT E	KAEX29	53.0	1992-08-11	3.79
ANHOLT E	KAEX29	52.0	1992-09-16	2.3
ANHOLT E	KAEX29	56.0	1992-09-27	1.78
ANHOLT E	KAEX29	58.0	1992-11-02	4.48
ANHOLT E	KAEX29	55.0	1992-11-20	4.95
ANHOLT E	KAEX29	57.0	1993-02-12	6.85
ANHOLT E	KAEX29	56.0	1993-05-06	5.9
ANHOLT E	KAEX29	55.0	1993-06-16	5.21
ANHOLT E	KAEX29	55.0	1993-07-05	5.11
ANHOLT E	KAEX29	57.0	1993-07-10	5.1
ANHOLT E	KAEX29	57.0	1993-08-04	4.05
ANHOLT E	KAEX29	53.0	1993-08-26	3.04
ANHOLT E	KAEX29	54.0	1993-09-16	2.31
ANHOLT E	KAEX29	63.0	1993-10-08	4.78
ANHOLT E	KAEX29	54.0	1993-11-15	4.89
ANHOLT E	KAEX29	58.0	1993-12-16	5.58
ANHOLT E	KAEX29	63.0	1994-01-29	6.1
ANHOLT E	KAEX29	58.0	1994-02-21	6.18
ANHOLT E	KAEX29	53.0	1994-03-24	5.91
ANHOLT E	KAEX29	53.0	1994-04-12	4.61
ANHOLT E	KAEX29	58.0	1994-04-16	4.39
ANHOLT E	KAEX29	56.0	1994-04-25	3.76
ANHOLT E	KAEX29	55.0	1994-07-16	4.2
ANHOLT E	KAEX29	55.0	1994-08-18	2.94
ANHOLT E	KAEX29	52.0	1994-08-30	3.17
ANHOLT E	KAEX29	53.0	1994-09-20	3.45
ANHOLT E	KAEX29	53.0	1994-10-27	3.61
ANHOLT E	KAEX29	54.0	1994-12-11	5.2
ANHOLT E	KAEX29	62.0	1995-02-21	6.72
ANHOLT E	KAEX29	62.0	1995-05-08	5.39
ANHOLT E	KAEX29	55.0	1995-06-27	4.77
ANHOLT E	KAEX29	53.0	1995-08-02	3.02
ANHOLT E	KAEX29	55.0	1995-09-05	2.42
ANHOLT E	KAEX29	59.0	1995-09-26	3.89
ANHOLT E	KAEX29	55.0	1995-10-20	3.75
ANHOLT E	KAEX29	54.0	1995-12-14	5.17
ANHOLT E	KAEX29	55.0	1996-03-16	5.15
ANHOLT E	KAEX29	53.0	1996-09-23	nan
ANHOLT E	KAEX29	57.0	1997-07-21	nan
ANHOLT E	KAEX29	57.0	1997-07-22	4.57
ANHOLT E	KAEX29	54.0	1997-08-11	4.04
ANHOLT E	KAEX29	55.0	1998-06-26	nan
ANHOLT E	KAEX29	55.0	1998-06-27	4.75
ANHOLT E	KAEX29	53.0	1998-07-21	3.95
ANHOLT E	KAEX29	55.0	1998-09-15	3.93
ANHOLT E	KAEX29	53.0	1998-09-22	3.92
ANHOLT E	KAEX29	54.0	1998-10-22	4.22
ANHOLT E	KAEX29	52.0	1998-11-11	4.89
ANHOLT E	KAEX29	58.0	1998-12-11	4.59
ANHOLT E	KAEX29	54.0	1999-01-23	6.39
ANHOLT E	KAEX29	54.0	1999-02-23	6.54
ANHOLT E	KAEX29	59.0	1999-05-17	5.88
ANHOLT E	KAEX29	55.0	1999-06-08	5.54
ANHOLT E	KAEX29	54.0	1999-07-11	4.75
ANHOLT E	KAEX29	52.0	1999-08-03	3.55
ANHOLT E	KAEX29	54.0	1999-08-07	3.44
ANHOLT E	KAEX29	54.0	1999-08-23	3.09
ANHOLT E	KAEX29	58.0	1999-08-28	2.86
ANHOLT E	KAEX29	53.0	1999-09-08	2.58
ANHOLT E	KAEX29	52.0	1999-09-13	2.4
ANHOLT E	KAEX29	52.0	1999-10-28	3.53
ANHOLT E	KAEX29	53.0	1999-11-14	4.31
ANHOLT E	KAEX29	58.0	2000-01-27	6.3
ANHOLT E	KAEX29	52.0	2000-02-02	6.34
ANHOLT E	KAEX29	54.0	2000-02-03	6.55
ANHOLT E	KAEX29	53.0	2000-03-27	6.1
ANHOLT E	KAEX29	57.0	2000-04-26	5.3
ANHOLT E	KAEX29	56.0	2000-04-29	5.86
ANHOLT E	KAEX29	52.0	2000-05-15	5.17
ANHOLT E	KAEX29	54.0	2000-05-19	5.68
ANHOLT E	KAEX29	52.0	2000-06-16	5.09
ANHOLT E	KAEX29	52.0	2000-07-11	4.12
ANHOLT E	KAEX29	54.0	2000-07-15	3.96
ANHOLT E	KAEX29	54.0	2000-08-11	2.59
ANHOLT E	KAEX29	58.0	2000-09-02	1.6
ANHOLT E	KAEX29	56.0	2000-10-03	3.63
ANHOLT E	KAEX29	54.0	2000-10-25	3.36
ANHOLT E	KAEX29	54.0	2000-11-07	4.54
ANHOLT E	KAEX29	54.0	2000-12-05	5.33
ANHOLT E	KAEX29	54.0	2000-12-16	5.49
ANHOLT E	KAEX29	60.0	2001-01-24	5.71
ANHOLT E	KAEX29	58.0	2001-02-07	5.67
ANHOLT E	KAEX29	62.0	2001-02-27	5.91
ANHOLT E	KAEX29	52.0	2001-03-21	5.83
ANHOLT E	KAEX29	54.0	2001-03-27	5.66
ANHOLT E	KAEX29	55.0	2001-04-24	5.95
ANHOLT E	KAEX29	62.0	2001-04-28	6.18
ANHOLT E	KAEX29	61.0	2001-05-16	6.23
ANHOLT E	KAEX29	56.0	2001-06-12	5.8
ANHOLT E	KAEX29	54.0	2001-06-17	5.71
ANHOLT E	KAEX29	58.0	2001-07-10	4.94
ANHOLT E	KAEX29	55.0	2001-07-14	4.74
ANHOLT E	KAEX29	57.0	2001-07-30	4.41
ANHOLT E	KAEX29	54.0	2001-08-03	3.8
ANHOLT E	KAEX29	55.0	2001-08-27	3.39
ANHOLT E	KAEX29	55.0	2001-08-31	3.54
