STATN	STNCODE	DEPH	SDATE	DOXY_BTL_bottom
BYTTELOCKET	FIBX32	25.0	1986-02-18	6.5
BYTTELOCKET	FIBX32	25.0	1986-03-19	6.8
BYTTELOCKET	FIBX32	25.0	1986-04-08	7.5
BYTTELOCKET	FIBX32	25.0	1986-05-13	5.7
BYTTELOCKET	FIBX32	25.0	1986-06-11	6.0
BYTTELOCKET	FIBX32	25.0	1986-06-30	4.4
BYTTELOCKET	FIBX32	25.0	1986-08-05	5.1
BYTTELOCKET	FIBX32	25.0	1986-10-07	5.1
BYTTELOCKET	FIBX32	25.0	1986-11-04	5.8
BYTTELOCKET	FIBX32	25.0	1987-02-24	7.1
BYTTELOCKET	FIBX32	25.0	1987-04-07	7.4
BYTTELOCKET	FIBX32	25.0	1987-05-05	7.1
BYTTELOCKET	FIBX32	30.0	1987-06-02	5.8
BYTTELOCKET	FIBX32	25.0	1987-06-30	5.7
BYTTELOCKET	FIBX32	25.0	1987-08-04	5.3
BYTTELOCKET	FIBX32	25.0	1987-09-01	5.0
BYTTELOCKET	FIBX32	25.0	1987-09-15	5.5
BYTTELOCKET	FIBX32	25.0	1987-10-06	5.6
BYTTELOCKET	FIBX32	25.0	1987-11-03	6.6
BYTTELOCKET	FIBX32	25.0	1988-01-14	6.9
BYTTELOCKET	FIBX32	25.0	1988-03-29	6.2
BYTTELOCKET	FIBX32	25.0	1988-04-12	6.0
BYTTELOCKET	FIBX32	25.0	1988-05-03	6.0
BYTTELOCKET	FIBX32	25.0	1988-06-07	6.2
BYTTELOCKET	FIBX32	25.0	1988-07-04	2.0
BYTTELOCKET	FIBX32	25.0	1988-08-02	3.3
BYTTELOCKET	FIBX32	25.0	1988-09-06	4.6
BYTTELOCKET	FIBX32	25.0	1988-10-04	6.2
BYTTELOCKET	FIBX32	25.0	1988-10-11	5.7
BYTTELOCKET	FIBX32	25.0	1988-11-01	5.3
BYTTELOCKET	FIBX32	25.0	1989-01-10	6.7
BYTTELOCKET	FIBX32	25.0	1989-02-20	7.2
BYTTELOCKET	FIBX32	25.0	1989-03-07	7.7
BYTTELOCKET	FIBX32	25.0	1989-04-05	6.9
BYTTELOCKET	FIBX32	25.0	1989-05-09	6.4
BYTTELOCKET	FIBX32	25.0	1989-06-06	6.1
BYTTELOCKET	FIBX32	25.0	1989-07-04	5.6
BYTTELOCKET	FIBX32	25.0	1989-08-01	5.1
BYTTELOCKET	FIBX32	25.0	1989-09-05	5.0
BYTTELOCKET	FIBX32	25.0	1989-10-04	5.3
BYTTELOCKET	FIBX32	25.0	1989-11-08	5.3
BYTTELOCKET	FIBX32	25.0	1989-12-05	6.4
BYTTELOCKET	FIBX32	25.0	1990-01-09	6.01
BYTTELOCKET	FIBX32	26.0	1990-02-05	6.88
BYTTELOCKET	FIBX32	26.0	1990-03-06	7.34
BYTTELOCKET	FIBX32	26.0	1990-04-03	7.3
BYTTELOCKET	FIBX32	26.0	1990-05-07	5.49
BYTTELOCKET	FIBX32	26.0	1990-05-30	5.84
BYTTELOCKET	FIBX32	25.0	1990-07-03	4.99
BYTTELOCKET	FIBX32	26.0	1990-08-07	4.15
BYTTELOCKET	FIBX32	25.0	1990-09-05	3.64
BYTTELOCKET	FIBX32	26.0	1990-10-02	5.69
BYTTELOCKET	FIBX32	26.0	1990-11-07	4.35
BYTTELOCKET	FIBX32	25.0	1990-12-04	5.09
BYTTELOCKET	FIBX32	22.0	1991-01-08	6.31
BYTTELOCKET	FIBX32	26.0	1991-02-05	6.21
BYTTELOCKET	FIBX32	23.0	1991-03-05	5.69
BYTTELOCKET	FIBX32	22.5	1991-04-10	6.53
BYTTELOCKET	FIBX32	26.0	1991-05-08	5.79
BYTTELOCKET	FIBX32	27.0	1991-06-04	4.9
BYTTELOCKET	FIBX32	27.0	1991-07-02	4.47
BYTTELOCKET	FIBX32	25.0	1991-08-06	3.78
BYTTELOCKET	FIBX32	25.0	1991-09-03	3.08
BYTTELOCKET	FIBX32	26.0	1991-10-02	4.4
BYTTELOCKET	FIBX32	26.0	1991-11-12	4.4
BYTTELOCKET	FIBX32	26.0	1991-12-03	5.8
BYTTELOCKET	FIBX32	25.0	1992-01-07	5.88
BYTTELOCKET	FIBX32	25.0	1992-02-04	5.63
BYTTELOCKET	FIBX32	25.0	1992-03-03	5.81
BYTTELOCKET	FIBX32	25.0	1992-04-03	6.2
BYTTELOCKET	FIBX32	25.0	1992-05-05	6.67
BYTTELOCKET	FIBX32	23.0	1992-06-02	4.18
BYTTELOCKET	FIBX32	24.0	1992-06-30	4.27
BYTTELOCKET	FIBX32	24.0	1992-08-04	3.6
BYTTELOCKET	FIBX32	24.0	1992-09-01	4.84
BYTTELOCKET	FIBX32	23.0	1992-10-06	3.3
BYTTELOCKET	FIBX32	24.0	1992-11-02	5.03
BYTTELOCKET	FIBX32	24.0	1992-12-01	6.46
BYTTELOCKET	FIBX32	25.0	1993-01-14	7.13
BYTTELOCKET	FIBX32	25.0	1993-02-02	7.64
BYTTELOCKET	FIBX32	24.0	1993-03-02	7.08
BYTTELOCKET	FIBX32	23.0	1993-04-06	7.77
BYTTELOCKET	FIBX32	25.0	1993-05-04	6.02
BYTTELOCKET	FIBX32	25.0	1993-06-01	6.36
BYTTELOCKET	FIBX32	24.0	1993-07-06	5.68
BYTTELOCKET	FIBX32	24.0	1993-08-03	5.01
BYTTELOCKET	FIBX32	25.0	1993-09-07	3.37
BYTTELOCKET	FIBX32	25.0	1993-10-05	4.62
BYTTELOCKET	FIBX32	23.0	1993-11-02	4.38
BYTTELOCKET	FIBX32	25.0	1993-12-07	5.27
BYTTELOCKET	FIBX32	23.0	1994-01-04	6.76
BYTTELOCKET	FIBX32	25.0	1994-02-01	7.51
BYTTELOCKET	FIBX32	24.0	1994-03-01	5.45
BYTTELOCKET	FIBX32	25.0	1994-04-05	7.14
BYTTELOCKET	FIBX32	23.0	1994-05-03	6.99
BYTTELOCKET	FIBX32	25.0	1994-06-07	5.83
BYTTELOCKET	FIBX32	28.0	1994-07-05	4.89
BYTTELOCKET	FIBX32	25.0	1994-08-03	2.24
BYTTELOCKET	FIBX32	26.0	1994-09-06	3.05
BYTTELOCKET	FIBX32	25.0	1994-10-04	4.72
BYTTELOCKET	FIBX32	27.0	1994-11-01	4.87
BYTTELOCKET	FIBX32	25.0	1994-12-01	5.54
BYTTELOCKET	FIBX32	28.0	1995-01-09	7.39
BYTTELOCKET	FIBX32	27.0	1995-02-02	7.39
BYTTELOCKET	FIBX32	26.0	1995-03-06	7.45
BYTTELOCKET	FIBX32	26.0	1995-04-03	7.37
BYTTELOCKET	FIBX32	26.0	1995-05-02	6.52
BYTTELOCKET	FIBX32	25.0	1995-06-06	5.23
BYTTELOCKET	FIBX32	26.0	1995-07-04	4.24
BYTTELOCKET	FIBX32	26.0	1995-08-01	4.33
BYTTELOCKET	FIBX32	26.0	1995-08-31	4.58
BYTTELOCKET	FIBX32	23.0	1995-10-03	4.91
BYTTELOCKET	FIBX32	26.0	1995-11-07	5.63
BYTTELOCKET	FIBX32	26.0	1995-12-04	6.17
BYTTELOCKET	FIBX32	26.0	1996-01-15	4.4
BYTTELOCKET	FIBX32	20.0	1996-02-13	5.78
BYTTELOCKET	FIBX32	20.0	1996-03-05	5.74
BYTTELOCKET	FIBX32	26.0	1996-04-01	5.72
BYTTELOCKET	FIBX32	26.0	1996-05-08	7.24
BYTTELOCKET	FIBX32	26.0	1996-06-04	6.42
BYTTELOCKET	FIBX32	26.0	1996-07-01	5.08
BYTTELOCKET	FIBX32	26.0	1996-08-06	5.38
BYTTELOCKET	FIBX32	26.0	1996-09-03	4.01
BYTTELOCKET	FIBX32	26.0	1996-09-30	4.5
BYTTELOCKET	FIBX32	26.0	1996-11-05	5.81
BYTTELOCKET	FIBX32	26.0	1997-01-08	6.28
BYTTELOCKET	FIBX32	26.0	1997-02-03	6.79
BYTTELOCKET	FIBX32	26.0	1997-03-04	7.43
BYTTELOCKET	FIBX32	26.0	1997-04-01	7.03
BYTTELOCKET	FIBX32	26.0	1997-05-06	6.42
BYTTELOCKET	FIBX32	26.0	1997-06-03	5.37
BYTTELOCKET	FIBX32	26.0	1997-07-02	4.63
BYTTELOCKET	FIBX32	26.0	1997-08-05	4.82
BYTTELOCKET	FIBX32	26.0	1997-09-02	3.27
BYTTELOCKET	FIBX32	26.0	1997-10-07	5.02
BYTTELOCKET	FIBX32	26.0	1997-11-04	5.45
BYTTELOCKET	FIBX32	26.0	1997-12-02	6.54
BYTTELOCKET	FIBX32	26.0	1998-01-13	6.48
BYTTELOCKET	FIBX32	26.0	1998-02-03	7.28
BYTTELOCKET	FIBX32	26.0	1998-03-31	7.81
BYTTELOCKET	FIBX32	26.0	1998-05-05	6.13
BYTTELOCKET	FIBX32	26.0	1998-06-02	4.8
BYTTELOCKET	FIBX32	23.0	1998-06-30	5.74
BYTTELOCKET	FIBX32	26.0	1998-08-04	4.89
BYTTELOCKET	FIBX32	26.0	1998-09-01	4.7
BYTTELOCKET	FIBX32	26.0	1998-10-06	4.18
BYTTELOCKET	FIBX32	26.0	1998-11-03	6.03
BYTTELOCKET	FIBX32	25.0	1998-12-08	5.86
BYTTELOCKET	FIBX32	26.0	1999-01-12	6.96
BYTTELOCKET	FIBX32	26.0	1999-02-09	7.31
BYTTELOCKET	FIBX32	24.0	1999-03-09	7.02
BYTTELOCKET	FIBX32	26.0	1999-04-06	6.63
BYTTELOCKET	FIBX32	26.0	1999-05-04	5.87
BYTTELOCKET	FIBX32	25.0	1999-06-01	5.66
BYTTELOCKET	FIBX32	27.0	1999-07-06	4.25
BYTTELOCKET	FIBX32	23.0	1999-08-03	4.01
BYTTELOCKET	FIBX32	25.0	1999-09-07	3.31
BYTTELOCKET	FIBX32	25.0	1999-10-04	5.03
BYTTELOCKET	FIBX32	26.0	1999-11-02	5.0
BYTTELOCKET	FIBX32	22.0	1999-12-07	6.6
BYTTELOCKET	FIBX32	25.0	2000-01-12	6.63
BYTTELOCKET	FIBX32	23.0	2000-02-08	7.21
BYTTELOCKET	FIBX32	25.0	2000-03-07	7.19
BYTTELOCKET	FIBX32	26.0	2000-04-04	6.28
BYTTELOCKET	FIBX32	25.0	2000-05-03	5.94
BYTTELOCKET	FIBX32	25.0	2000-06-07	5.32
BYTTELOCKET	FIBX32	24.0	2000-07-05	4.67
BYTTELOCKET	FIBX32	25.0	2000-08-02	4.4
BYTTELOCKET	FIBX32	22.0	2000-09-06	4.29
BYTTELOCKET	FIBX32	27.0	2000-10-03	3.65
BYTTELOCKET	FIBX32	21.0	2000-11-08	5.06
BYTTELOCKET	FIBX32	23.0	2000-12-06	6.39
BYTTELOCKET	FIBX32	26.0	2001-01-10	6.6
BYTTELOCKET	FIBX32	24.0	2001-02-07	6.65
BYTTELOCKET	FIBX32	25.0	2001-03-07	6.89
BYTTELOCKET	FIBX32	25.0	2001-04-04	6.38
BYTTELOCKET	FIBX32	25.0	2001-05-09	6.25
BYTTELOCKET	FIBX32	24.0	2001-06-06	6.44
BYTTELOCKET	FIBX32	25.0	2001-07-04	5.23
BYTTELOCKET	FIBX32	25.0	2001-08-08	3.65
BYTTELOCKET	FIBX32	27.0	2001-09-05	3.62
BYTTELOCKET	FIBX32	27.0	2001-10-03	4.49
BYTTELOCKET	FIBX32	28.0	2001-11-07	5.6
BYTTELOCKET	FIBX32	28.0	2001-12-05	6.29
BYTTELOCKET	FIBX32	28.0	2002-01-09	6.25
BYTTELOCKET	FIBX32	27.0	2002-02-06	7.02
BYTTELOCKET	FIBX32	27.0	2002-03-06	7.23
BYTTELOCKET	FIBX32	27.0	2002-04-04	6.22
BYTTELOCKET	FIBX32	26.0	2002-05-07	6.1
BYTTELOCKET	FIBX32	29.0	2002-06-05	5.3
BYTTELOCKET	FIBX32	27.0	2002-07-03	4.75
BYTTELOCKET	FIBX32	23.0	2002-08-06	3.47
BYTTELOCKET	FIBX32	27.0	2002-09-04	3.57
BYTTELOCKET	FIBX32	27.0	2002-10-02	3.19
BYTTELOCKET	FIBX32	24.0	2002-11-06	5.76
BYTTELOCKET	FIBX32	27.0	2002-12-04	4.73
BYTTELOCKET	FIBX32	26.0	2003-02-05	7.02
BYTTELOCKET	FIBX32	23.0	2003-03-05	7.65
BYTTELOCKET	FIBX32	28.0	2003-04-02	7.3
BYTTELOCKET	FIBX32	26.0	2003-05-07	6.82
BYTTELOCKET	FIBX32	26.0	2003-06-04	4.59
BYTTELOCKET	FIBX32	27.0	2003-07-02	2.76
BYTTELOCKET	FIBX32	26.0	2003-08-06	3.97
BYTTELOCKET	FIBX32	25.0	2003-09-03	4.98
BYTTELOCKET	FIBX32	28.0	2003-10-08	5.68
BYTTELOCKET	FIBX32	27.0	2003-11-05	5.0
BYTTELOCKET	FIBX32	26.0	2003-12-03	5.47
BYTTELOCKET	FIBX32	27.0	2004-02-04	6.8
BYTTELOCKET	FIBX32	27.0	2004-03-03	6.31
BYTTELOCKET	FIBX32	27.0	2004-04-07	6.58
BYTTELOCKET	FIBX32	27.0	2004-05-05	4.97
BYTTELOCKET	FIBX32	27.0	2004-06-02	5.63
BYTTELOCKET	FIBX32	27.0	2004-07-07	5.77
BYTTELOCKET	FIBX32	28.0	2004-08-04	3.94
BYTTELOCKET	FIBX32	26.0	2004-09-08	4.6
BYTTELOCKET	FIBX32	28.0	2004-10-06	5.12
BYTTELOCKET	FIBX32	28.0	2004-11-03	5.24
BYTTELOCKET	FIBX32	28.0	2004-12-08	6.02
BYTTELOCKET	FIBX32	25.0	2005-02-02	6.4
BYTTELOCKET	FIBX32	26.0	2005-03-02	6.67
BYTTELOCKET	FIBX32	27.0	2005-04-06	5.5
BYTTELOCKET	FIBX32	27.0	2005-05-03	5.72
BYTTELOCKET	FIBX32	27.0	2005-06-09	5.39
BYTTELOCKET	FIBX32	27.0	2005-07-06	3.5
BYTTELOCKET	FIBX32	28.0	2005-08-02	3.87
BYTTELOCKET	FIBX32	27.0	2005-09-07	4.24
BYTTELOCKET	FIBX32	27.0	2005-10-05	5.1
BYTTELOCKET	FIBX32	27.0	2005-11-02	5.31
BYTTELOCKET	FIBX32	26.0	2005-12-07	5.39
BYTTELOCKET	FIBX32	26.0	2006-01-11	7.86
BYTTELOCKET	FIBX32	26.0	2006-02-08	6.33
BYTTELOCKET	FIBX32	27.0	2006-03-07	6.0
BYTTELOCKET	FIBX32	27.0	2006-04-05	5.93
BYTTELOCKET	FIBX32	25.0	2006-05-03	6.29
BYTTELOCKET	FIBX32	27.0	2006-05-31	5.82
BYTTELOCKET	FIBX32	28.0	2006-07-05	3.65
BYTTELOCKET	FIBX32	27.0	2006-08-02	3.35
BYTTELOCKET	FIBX32	26.0	2006-09-06	3.95
BYTTELOCKET	FIBX32	26.0	2006-10-04	4.52
BYTTELOCKET	FIBX32	26.0	2006-11-08	5.99
BYTTELOCKET	FIBX32	26.0	2006-12-06	6.3
BYTTELOCKET	FIBX32	26.0	2007-01-09	6.6
BYTTELOCKET	FIBX32	23.0	2007-02-06	6.4
BYTTELOCKET	FIBX32	23.0	2007-03-06	6.3
BYTTELOCKET	FIBX32	25.0	2007-04-03	5.6
BYTTELOCKET	FIBX32	27.0	2007-05-02	6.1
BYTTELOCKET	FIBX32	25.0	2007-06-04	4.6
BYTTELOCKET	FIBX32	21.0	2007-07-03	5.3
BYTTELOCKET	FIBX32	23.0	2007-08-07	4.5
BYTTELOCKET	FIBX32	23.0	2007-09-04	5.0
BYTTELOCKET	FIBX32	24.0	2007-10-02	5.5
BYTTELOCKET	FIBX32	25.0	2007-11-06	4.7
BYTTELOCKET	FIBX32	26.0	2007-12-04	6.2
BYTTELOCKET	FIBX32	28.0	2008-01-08	6.52
BYTTELOCKET	FIBX32	27.0	2008-02-06	6.85
BYTTELOCKET	FIBX32	27.0	2008-03-05	6.85
BYTTELOCKET	FIBX32	26.0	2008-04-02	6.57
BYTTELOCKET	FIBX32	26.0	2008-05-07	5.59
BYTTELOCKET	FIBX32	25.0	2008-06-03	5.29
BYTTELOCKET	FIBX32	27.0	2008-07-01	4.74
BYTTELOCKET	FIBX32	27.0	2008-08-06	5.06
BYTTELOCKET	FIBX32	28.0	2008-09-02	3.56
BYTTELOCKET	FIBX32	28.0	2008-10-07	5.1
BYTTELOCKET	FIBX32	27.0	2008-11-05	4.76
BYTTELOCKET	FIBX32	27.0	2008-12-02	6.24
BYTTELOCKET	FIBX32	26.0	2009-01-07	6.18
BYTTELOCKET	FIBX32	26.0	2009-02-03	6.68
BYTTELOCKET	FIBX32	25.0	2009-03-03	6.42
BYTTELOCKET	FIBX32	27.0	2009-03-31	6.89
BYTTELOCKET	FIBX32	27.0	2009-05-05	6.2
BYTTELOCKET	FIBX32	26.0	2009-06-02	5.44
BYTTELOCKET	FIBX32	27.0	2009-07-07	4.37
BYTTELOCKET	FIBX32	26.0	2009-08-04	3.8
BYTTELOCKET	FIBX32	25.0	2009-09-02	4.69
BYTTELOCKET	FIBX32	25.0	2009-10-06	5.38
BYTTELOCKET	FIBX32	24.0	2009-11-03	6.3
BYTTELOCKET	FIBX32	27.0	2009-12-01	6.05
BYTTELOCKET	FIBX32	21.0	2010-01-13	5.31
BYTTELOCKET	FIBX32	24.0	2010-04-07	7.11
BYTTELOCKET	FIBX32	27.0	2010-05-04	6.45
BYTTELOCKET	FIBX32	23.0	2010-06-02	6.37
BYTTELOCKET	FIBX32	27.0	2010-07-07	4.91
BYTTELOCKET	FIBX32	28.0	2010-08-04	4.07
BYTTELOCKET	FIBX32	26.0	2010-09-08	3.27
